id,city,title,url,date_posted_iso,category,description,estimated_value,contact_method,contact_info,has_been_contacted,follow_up_date,scraped_timestamp,ai_is_junk,ai_profitability_score,ai_reasoning
277,,Vintage John Maddock & Sons Royal Vitreous Pitcher,https://newyork.craigslist.org/mnh/atq/d/new-york-vintage-john-maddock-sons/7831638385.html,2025-03-04T07:36:38-0500,,"Gorgeous! Stylish. Victorian yet with a modern sensibility. A slight almost imperceptible crack down the side and base. 7"" High. 5.5"" Across. 4"" wide. Don't let this beauty slip away.
My mom collected antiques her entire life. She loved going to flea markets and thrift stores in search of hidden treasures. Now that she has passed I am selling off her collection.
Click on the ""More ads by this user"" link on the right to see all the antiques and other items I am selling.
I live on 23rd Street Manhattan, Between 1st and 2nd Avenues. Come on by!",,Reply Button,,0,,2025-04-01T07:49:52.980602,,,
276,,foldable walker s and/or 4 cane (s),https://newyork.craigslist.org/wch/hab/d/bedford-hills-foldable-walker-and-or/7818826823.html,2025-01-16T13:28:41-0500,,"foldable walker for $20 each
large shower chair $10
All 4 canes $20
Click ""more ads by this user"" button (upper right) for more items for sale.
Cash only. For a quicker response, please text me the day and time at
show contact info
to coordinate pickup in Bedford Hills (Norther Westchester, not NYC).",,Reply Button,,0,,2025-04-01T07:49:52.365820,,,
274,,Air Pods Apple pro,https://newyork.craigslist.org/que/ele/d/astoria-air-pods-apple-pro/7827919850.html,2025-02-18T23:23:15-0500,,"I have 3 Apple AirPods Pro ($100 each) and 3 Apple AirPods 2 gen ($70 each)
Charging Case included with all Airpods
Excellent Condition",,Reply Button,,0,,2025-04-01T07:49:47.048739,,,
275,,Pansonic-KX-FP151 Fax/Copier,https://newyork.craigslist.org/mnh/bfs/d/new-york-pansonic-kx-fp151-fax-copier/7825670632.html,2025-02-10T17:49:56-0500,,"This fax/copier comes in the original box, has an instruction manual, and all original equipment, with 2 rollers and a replacement film.   THE MACHINE IS BROKEN.  The phone works fine.  The problem is getting the paper to go through the machine properly.   I found this machine to be very handy and efficient when I used it.
I would like to sell this to a handy person or someone who will have no problem getting it fixed.   I would not be selling it if I thought it could not be fixed.
I am located in the West 70s.",,Reply Button,,0,,2025-04-01T07:49:39.226554,,,
273,,Vintage Adler Papier Máché Christmas Tree Ornament - Price Reduced,https://newyork.craigslist.org/mnh/atq/d/new-york-vintage-adler-papier-mch/7831638433.html,2025-03-04T07:37:04-0500,,"A wonderful example of KS Adler Christmas Tree Ornament. 1956. Gorgeous design. Mica glitter lining. Open it up and put the candy inside. It's unique, it's in great condition, and it will be the highlight of your tree.
My mom collected antiques her entire life. She loved going to flea markets and thrift stores in search of hidden treasures. Now that she has passed I am selling off her collection.
Click on the ""More ads by this user"" link on the right to see all the antiques and other items I am selling.
I live on 23rd Street Manhattan, Between 1st and 2nd Avenues. Come on by!",,Reply Button,,0,,2025-04-01T07:49:32.092258,,,
272,,PreSonus HP4 Quad Headphone Amp,https://newyork.craigslist.org/mnh/msg/d/new-york-presonus-hp4-quad-headphone-amp/7839066574.html,2025-04-01T10:22:49-0400,,PreSonus HP4 - Four way headphone amp with isolated mute and monitor control.,,Reply Button,,0,,2025-04-01T07:49:23.557434,,,
271,,Masimo SpO2 LNCS Adult Trauma Sensor 2411,https://newyork.craigslist.org/brk/hab/d/brooklyn-masimo-spo2-lncs-adult-trauma/7830529233.html,2025-02-28T09:29:50-0500,,"Masimo SpO2 LNCS Adult Trauma Sensor 2411
For Masimo SET SpO2 Pulse Oximeters - Price is for each. I have 39 available.
Sealed and New
Adult (> 30 Kg)
LNCS Trauma SpO2 Adult Adhesive Sensor
Ref # 2411
9-Pin connector
These Trauma sensors are more sensitive and give faster and more accurate results. Check your manual to see if it is compatible with your device. Also compare your connectors to the photos to make sure it fits your cable.",,Reply Button,,0,,2025-04-01T07:49:19.987694,,,
270,,Unique Vintage Giant Brandy Goblet/Planter,https://newyork.craigslist.org/mnh/atq/d/new-york-unique-vintage-giant-brandy/7831638491.html,2025-03-04T07:37:30-0500,,"You read it right. This is either a giant brandy glass,  a glass for the largest margherita in the world, a planter, or a big bowl for your coins or .... or .... I'll let you come up with more uses.
My mom collected antiques her entire life. She loved going to flea markets and thrift stores in search of hidden treasures. Now that she has passed I am selling off her collection.
Click on the ""More ads by this user"" link on the right to see all the antiques and other items I am selling.
I live on 23rd Street Manhattan, Between 1st and 2nd Avenues. Come on by!",,Reply Button,,0,,2025-04-01T07:49:12.925717,,,
269,,WCC text books,https://newyork.craigslist.org/wch/bks/d/bedford-hills-wcc-text-books/7818826574.html,2025-01-16T13:27:59-0500,,"Each text book $10!
Click ""more ads by this user"" button (upper right) for more items for sale.
Cash only. For a quicker response, please text me the day and time at
show contact info
to coordinate pickup in Bedford HIlls (Norther Westchester, not NYC).",,Reply Button,,0,,2025-04-01T07:49:12.709318,,,
268,,Vintage Forum of the XII Caesars Ashtray,https://newyork.craigslist.org/mnh/clt/d/new-york-vintage-forum-of-the-xii/7831638592.html,2025-03-04T07:38:23-0500,,"You may have thought it was a fictional restaurant mentioned in Mad Men, but you'd be wrong! The Forum of the Twelve Caesars was a high society restaurant opened in 1957 at Rockefeller Center in NYC.
Is it an ashtray or a butter dish? I wish I knew. All I can say is that it is collectible. People are selling them on ebay for anywhere from $8 to $22 apiece. I'm selling them for $10 each, or $25 for all three.
My mom collected antiques her entire life. She loved going to flea markets and thrift stores in search of hidden treasures. Now that she has passed I am selling off her collection.
Click on the ""More ads by this user"" link on the right to see all the antiques and other items I am selling.
I live on 23rd Street Manhattan, Between 1st and 2nd Avenues. Come on by!",,Reply Button,,0,,2025-04-01T07:49:02.193020,,,
